ID,Name,Latitude,Longitude,Glottocode,Name_and_ID_in_source,xd_id,alt_names_by_society,main_focal_year,HRAF_name_ID,HRAF_ID,origLat,origLong,comment,glottocode_comment,region
Aa1,!Kung,-20,21,juho1239,Kung (Aa1),xd1,Kung Bushmen; !Kung (Was Nyae); Was Nyae,1950,San (FX10),FX10,-20,21,Original,,Southern Africa
Ab1,Herero,-21,16,here1253,Herero (Ab1),xd10,Damara; Ovaherero,1900,,,-21,16,Original,,Southern Africa
Ad31,Duruma,-4,39,duru1249,Duruma (Ad31),xd100,Waduruma,1910,,,-4,39,Original,,East Tropical Africa
Ad32,Giriama,-3,40,giry1241,Giriama (Ad32),xd101,Kiriama; Wagiryama,1900,,,-3,40,Original,,East Tropical Africa
Ad33,Pokomo,-1,40,poko1261,Pokomo (Ad33),xd102,Wapokomo,1900,,,-1,40,Original,,East Tropical Africa
Na3,Copper Inuit,69,-110,copp1244,Copper Eskimo (Na3),xd1022,Kitlinermiut; Copper Eskimo,1920,Copper Eskimo (ND08),ND08,69,-110,Original,,Subarctic America
Na22,Iglulik Inuit,70,-82,west2618,Iglulik (Na22),xd1025,Igloolik; Iglulingmiut,1920,,,70,-82,Original,,Subarctic America
Na1,Nabesna,63,-141,uppe1437,Nabesna (Na1),xd1026,Upper Tanana Indians,1930,,,63,-141,Original,,Subarctic America
Na10,Chugach,60.72,-146.49,chug1254,Chugach (Na10),xd1027,Chugachigmiut; Chugash,1930,South Alaskan Eskimo (NA10),NA10,60,-147,Revised,"3Oct2018 Assigned to dialect chug1254 (language does not change) to help differentiate this society from the closely related Koniag, also now mapped to language paci1278.",Subarctic America
Na11,Sivokakmeit,63.34,-170.3,cent2128,Sivokakmeit (Na11),xd1028,St. Lawrence Island Inuit,1920,,,63,-170,Revised,"4Oct2018 - Note that while EA society Na11 has always been linked to xd1028, Binford society B379 was originally linked to xd1020 (and, thus, linked to the dialect poin1245 and language nort2943. The update to Glottolog 3.3.2 forced re-mapping of xd1028 from dialect aiwa1238 (which no longer exists) to language cent2128 (always the language-level match for this xd_id).",Subarctic America
Na12,Nunamiut,68,-152,nort2944,Nunamiut (Na12),xd1029,Inland North Alaskan Eskimo; Nunamiut Eskimo,1950,,,68,-152,Original,"1Oct2018 - mapped to a new dialect (nort2944) of the same language (nort2943). HH: Belongs to language North Alaskan Inupiatun [nort2943] and more specifically to the North Slope Inupiatun [nort2944] dialect. Note that the subdialect to which it was previously mapped (Anaktuvuk Pass, anak1241) does not exist in Glottolog version 3.3.2. Note, this change may not be incorporated to Bouckaert/Atkinson global tree because of timing of correction.",Subarctic America
Ad34,Kamba,-2,38,kamb1297,Kamba (Ad34),xd103,Akamba; Wakamba,1910,,,-2,38,Original,,East Tropical Africa
Na13,Nunatsiarmiut,65.24,-64.63,baff1240,Baffinland (Na13),xd1030,Baffin Island Inuit; Baffinland,1880,,,65,-65,Revised,,Subarctic America
Na14,Inughuit (Northern Greenland),78,-70,pola1254,Polar Eskimo (Na14),xd1031,Polar Eskimo; Arctic Highlanders; Smith Sound Inuit; Smith Sound Eskimo,1880,,,78,-70,Original,"Note 8Feb2018: Glottocode changed to [ike] based on note from HH: ""The Polar Eskimo do not speak a language intelligible to Kalaalisut and had until recent times no contact or knowledge of the Kalaalisut further south. The language is intelligible to North Baffin Inuktitut so Glottolog counts Polar Eskimo as Eastern Canadian Inuktitut [ike]. Furthermore, Oswalt 1963 is listed as a reference to Polar Eskimo but concerns a completely different people in Alaska who speak Yupik-Central [esu].""",Subarctic America
Na15,Tlicho,63,-117,dogr1252,Dogrib (Na15),xd1032,Dogrib,1860,,,63,-117,Original,,Subarctic America
Na16,Délįne,65,-119,nort2942,Satudene (Na16),xd1033,Bear Lake Dene; Satudene; Great Bear Lake People; Sahtu; Sahtu Dene,1860,,,65,-119,Original,,Subarctic America
Na17,DeneTha,61,-120,sout2959,Slave (Na17),xd1034,Slave; Deh Cho (Southern Slavey); Slavey; Dene (distinguish from speakers of the Dene language),1860,,,61,-120,Original,,Subarctic America
Na19,Dakelh,54,-124,carr1249,Carrier (Na19),xd1035,Carrier; Takulli,1880,,,54,-124,Original,,Western Canada
Na2,Tareumiut,71,-157,nort2944,Tareumiut (Na2),xd1036,Tagiumiut; Point Barrow Eskimo; Barrow,1880,,,71,-157,Original,,Subarctic America
Na20,Kutchin,66,-135,gwic1235,Kutchin (Na20),xd1037,Gwich'in; Loucheux,1880,,,66,-135,Original,,Subarctic America
Na21,Caribou Inuit,63,-96,cari1277,Caribou Eskimo (Na21),xd1038,Caribou Eskimo,1900,,,63,-96,Original,,Subarctic America
Na23,Labrador Inuit,58,-65,labr1244,Labrador Eskimo (Na23),xd1039,Sukinninmiut; Labrador Eskimo,1890,,,58,-65,Original,,Eastern Canada
Ad35,Meru,0,35,meru1245,Meru (Ad35),xd104,,1940,,,0,35,Original,"12Nov2018 - changed back to Meru meru1245 [mer], after looking at Murdock's primary sources in more detail. While the latter two refs do focus on the ""Kikuyu"" in general terms, within the Kikuyu they clearly differentiated the Kikuyu and Meru. (Previous note, based on comment from HH: ""8Feb2018 - Note possible mix, refs appear to refer to both kik and mer; kik assigned because majority of references refer to kik. [HH: ""The latter two refs deal with Kikuyu [kik] which is a different lg from Meru [mer]"".]",East Tropical Africa
Na24,Tasiilaq,66,-37,tunu1234,Angmagsalik (Na24),xd1040,Angmagsalik (East Greenland); Ammassalik; East Greenland Eskimo; Polar Eskimo,1880,,,66,-37,Original,Note 8Feb2018: Changed based on note from HH: East Greenlandic is Tunumiisiut [tunu1234] in Glottolog.,Subarctic America
Na25,Kalaallit (West Greenland),68.66,-51.22,kala1399,Greenlanders (Na25),xd1041,West Greenland Eskimo; West Greenland Inuit,1910,,,69,-53,Revised,Note 8Feb2018: Glottocode updated from west2617 to kala1399,Subarctic America
Na26,Dena'ina,62,-144,tana1289,Tanaina (Na26),xd1042,Tanaina,1870,,,62,-144,Original,,Subarctic America
Na27,Tahltan,58,-131,tahl1239,Tahltan (Na27),xd1043,Southwestern Nahane,1870,,,58,-131,Original,,Western Canada
Na28,Sekani,56,-123,seka1250,Sekani (Na28),xd1044,Tsek'ene; Sicauni,1880,,,56,-123,Original,,Western Canada
Na29,Beaver,58,-117,beav1236,Beaver (Na29),xd1045,Denezaa; Tsattine,1850,,,58,-117,Original,,Western Canada
